"","Sample_Name","Effect_Size_mg_per_L","Effect_Size_mg_per_kg","Fe_Difference_mg_per_L","Fe_Difference_mg_per_kg","SpC_Difference","pH_Difference","Temp_Difference","Initial_Grav_Water_Difference","Final_Grav_Water_Difference"
"1","EC_005_INC",0.2492,0.8032,0.0269333333333333,0.0849354249182454,2.26000000000001,0.118,0.0800000000000018,0.254864581688773,0.395877709462948
"2","EC_009_INC",0.5922,2.1046,-0.000199999999999978,-0.000107304484515125,-0.588000000000008,0.16,0.0199999999999996,0.203563004333738,0.337675850050862
"3","EC_013_INC",10.871,58.15675,0.02425,0.127919023534044,8.72500000000002,0.0124999999999993,-0.399999999999999,0.297236419118267,0.433869406784642
"4","EC_014_INC",68.2747,285.1375,-0.06555,-0.273485335993408,-24.37,0.0220000000000002,-0.192499999999999,0.239911039519347,0.364239754998195
"5","EC_017_INC",-0.3872,-1.198,0.0648666666666667,0.2055586673845,2.97999999999996,0.837999999999999,-0.0200000000000031,0.282530919247343,0.423195539383728
"6","EC_018_INC",33.549,129.67875,-0.00372222222222222,-0.0142184379436377,-18.4000000000001,-0.2825,0.27,0.22311352573286,0.29915635284782
"7","EC_022_INC",25.8156,83.6396,0.0846666666666667,0.273160113341177,-3.92200000000001,0.574,-0.48,0.250122915778146,0.368444091077257
"8","EC_024_INC",2.187,6.358,0.01975,0.0574217802828882,-25.345,0.1395,-0.109999999999999,0.174004499764329,0.260543572759482
"9","EC_027_INC",179.5295,934.77325,0.7645,3.98545239303299,-15.25,-0.23,-0.399999999999999,0.282459483188795,0.575864980981132
"10","EC_032_INC",59.3508,315.8494,-1.4908,-7.94636381762203,-44.1600000000001,-0.391999999999999,0.32,0.403626998046571,0.800439768477072
"11","EC_033_INC",-0.0246666666666667,-0.078,-0.00611111111111111,-0.0191592031285376,-29.0666666666668,0.0306666666666668,-0.0533333333333346,0.323748560900744,0.458052297947385
"12","EC_034_INC",235.8592,812.7204,0.193133333333333,0.662839078785174,-74.92,-0.151999999999999,0.52,0.201668841076031,0.340515626065855
"13","EC_035_INC",34.1306,237.2496,0.0838,0.587769614858728,15.06,0.114,0.280000000000001,0.389259503516445,0.657073818057828
"14","EC_037_INC",1.6352,4.643,0.0293333333333333,0.0826027242535336,-7.74000000000001,0.188,-0.34,0.284399118467471,0.384997421297633
"15","EC_038_INC",29.1676,90.8856,0.0172,0.0546345049612721,-13.08,0.132,0.18,0.309358536214322,0.41852621433388
"16","EC_039_INC",4.1272,13.5318,-0.0029,-0.0087486788978758,-22.52,-0.244,-0.0800000000000018,0.128326639660261,0.263543845475552
"17","EC_040_INC",222.3474,818.1666,1.4038,5.22199343385589,-42.4800000000001,-0.126,0.119999999999997,0.200574286352856,0.485320346571145
"18","EC_041_INC",123.1276,458.3888,0.0198,0.0731836755416849,15.3,-0.0539999999999994,-0.280000000000001,0.260713628127333,0.460591912599579
"19","EC_042_INC",2.706,9.48095,-0.0153333333333333,-0.0541609636113123,-4.33,-0.164,0.109999999999999,0.204483854677842,0.329448674224674
"20","EC_044_INC",4.4952,13.7248,0.0285333333333333,0.087252195797902,30.742,0.738,-0.339999999999996,0.213470404801128,0.35641310667701
"21","EC_051_INC",-0.5532,-1.9134,0.0582,0.201226921417733,3.324,0.175999999999999,-0.300000000000001,0.271680113764875,0.398835652051782
"22","EC_052_INC",2.4566,10.4076,0.1136,0.482045304756519,8.484,0.262,0.0199999999999996,0.242714788080044,0.445418086670182
"23","EC_053_INC",0.8852,3.2754,0.0194666666666667,0.0708634114954727,3.556,0.456,0.160000000000004,0.217643292559251,0.359657689112011
"24","EC_056_INC",0,0,0.00351666666666667,0.0106939483167603,-1.876,-0.543500000000001,0.365000000000002,0.257133355712801,0.395303221070255
"25","EC_063_INC",5.0956,15.3972,0.102333333333333,0.310515476726343,-9.08,-0.496,0.0399999999999991,0.2718226727574,0.426758121868989
"26","EC_064_INC",125.64365,746.4672,0.0130166666666667,0.0772198692873833,19.32,-0.0534999999999997,-0.0550000000000033,0.3315052873865,0.60533917689336
"27","EC_065_INC",2.619,9.1706,0.0314666666666667,0.114110624786431,1.384,0.188,-0.139999999999997,0.137432598701053,0.255039737679237
"28","EC_066_INC",0.2726,0.873,-0.00326666666666666,-0.0103319241279312,-4.352,0.0599999999999996,-0.260000000000002,0.372904360305308,0.530728655133398
"29","EC_068_INC",37.1752,237.0202,0.254066666666667,1.61562235639477,48.16,0.0859999999999994,0.0399999999999991,0.378435248344388,1.04341410564549
"30","EC_069_INC",198.4962,630.9656,0.2182,0.692738200574477,-375.6,-0.319999999999999,0.220000000000002,0.276082889052071,0.404875234337206
"31","EC_070_INC",1.1528,4.0302,0.000475000000000003,0.00543560640450758,20.4,-0.322,0.219999999999999,0.239466017822888,0.390654188596001
"32","EC_071_INC",168.307,849.4188,0.2602,1.31367978133782,-52.98,0.146,-0.380000000000003,0.187114359452582,0.580822412809573
"33","EC_072_INC",19.249,102.63875,0.0885833333333333,0.450123300837331,27.15,-0.13,-0.200000000000003,0.293886090940835,0.707114350108675
"34","EC_073_INC",2.2414,10.8798,0.0432666666666667,0.21092205126871,6.17999999999999,0.0640000000000001,0,0.272349110366154,0.481014391344985
"35","EC_074_INC",-1.3288,-4.0022,-0.009,-0.0271899453028003,-20.48,0.124,-0.32,0.207653757809396,0.329018381866658
"36","EC_075_INC",190.8304,661.9272,0.2048,0.70987429105728,10.54,-0.42,-0.159999999999997,0.202764387561724,0.443723103945873
"37","EC_076_INC",123.6846,404.2786,0.0605333333333333,0.198050024459349,-12.64,-0.0540000000000003,0.239999999999998,0.316900572289929,0.552793352349581
"38","EC_078_INC",185.0966,802.7182,0.2438,1.05977337364711,-189.63,-0.134,0,0.259415597844482,0.515176901586296
"39","EC_080_INC",5.80840000000001,85.6476000000002,0.0218666666666667,0.287966167421333,12.3,0.132000000000001,-0.160000000000004,0.23128595227043,0.857869848336603
"40","EC_081_INC",177.0588,611.7942,0.084,0.294817549328689,6.68600000000001,0.146,0,0.197129523753901,0.372007326184535
"41","EC_082_INC",183.2652,622.0404,0.0140666666666667,0.0516632621789896,10.38,0.0880000000000001,-0.0199999999999996,0.194240576231892,0.312855045795639
"42","EC_084_INC",130.271,470.717,0.0388666666666667,0.140521470963916,30.76,0.186,0,0.138086017927937,0.372298615622422
"43","EC_085_INC",172.3602,589.499,0.706533333333333,2.4168997323248,8.46000000000001,0.266,-0.219999999999999,0.201105495906574,0.410651541405151
"44","EC_088_INC",192.6464,724.8092,0.312641666666667,1.1768146628664,21.678,0.318,-0.18,0.220594769643889,0.489248335358557
"45","EC_089_INC",1.3784,4.5676,0.0291333333333333,0.101897522655913,14.484,0.024,-0.120000000000001,0.193660297614713,0.291514981924824
"46","EC_090_INC",138.2852,411.3666,0.3882,1.15656128811869,-7.372,0.616,0.0199999999999996,0.176606896089505,0.280712951823813
"47","EC_091_INC",129.4782,432.0684,0.0733333333333333,0.246687348982355,-8.18000000000001,0.44,-0.0399999999999991,0.197935796066448,0.348290420732047
"48","EC_092_INC",4.151,12.4958,0.0530095238095238,0.161321073611679,25.58,-0.606,0.0199999999999996,0.180539571641873,0.293686049271437
"49","EC_093_INC",0.4156,1.287,-0.000466666666666657,0.00118234124980146,14.956,0.0500000000000007,-0.280000000000001,0.184979536418242,0.292112674281662
"50","EC_094_INC",127.1186,412.8508,0.0477333333333333,0.153326741380188,4.34,-0.102,-0.140000000000001,0.193601379783387,0.320558642395923
"51","EC_095_INC",278.3726,1169.6328,0.334733333333333,1.4077877542802,-34.78,0.426,0.0599999999999987,0.235641508627985,0.583142054775499
