"Parent_ID","Percent_Fine_Sand","Percent_Med_Sand","Percent_Coarse_Sand","Percent_Tot_Sand","Percent_Clay","Percent_Silt","ssa_m2_g"
"EC_05",6,56.2,33.4,95.6,0.4,4,9.24384685652541
"EC_05",6,56.2,33.4,95.6,0.4,4,8.82888977975565
"EC_05",6,56.2,33.4,95.6,0.4,4,6.48933922740701
"EC_09",31.4,36.4,13.3,81.1,1.4,17.5,19.5125998907142
"EC_09",31.4,36.4,13.3,81.1,1.4,17.5,20.8413418909249
"EC_09",31.4,36.4,13.3,81.1,1.4,17.5,13.8700145599386
"EC_11",21.6,29,25.7,76.3,0,23.7,6.42246356564107
"EC_11",21.6,29,25.7,76.3,0,23.7,3.91364658855655
"EC_11",21.6,29,25.7,76.3,0,23.7,11.5124992707433
"EC_11",21.6,29,25.7,76.3,0,23.7,5.56341727547593
"EC_11",21.6,29,25.7,76.3,0,23.7,7.52334822442997
"EC_12",27.1,24.4,37.3,88.8,0,11.2,15.589004964154
"EC_12",27.1,24.4,37.3,88.8,0,11.2,13.3132945962252
"EC_12",27.1,24.4,37.3,88.8,0,11.2,6.23718462013244
"EC_12",27.1,24.4,37.3,88.8,0,11.2,8.05739330673336
"EC_12",27.1,24.4,37.3,88.8,0,11.2,9.72356778299182
"EC_13",5.5,4.1,82,91.6,1.2,7.2,4.03982266943604
"EC_13",5.5,4.1,82,91.6,1.2,7.2,5.7785127886326
"EC_13",5.5,4.1,82,91.6,1.2,7.2,6.8988088038667
"EC_14",6.7,41.8,43.5,92,2.7,5.3,5.33432124569766
"EC_14",6.7,41.8,43.5,92,2.7,5.3,5.14783758337509
"EC_14",6.7,41.8,43.5,92,2.7,5.3,8.65192518253823
"EC_17",5.9,18.8,70.2,94.9,3.8,1.3,14.8030665169007
"EC_17",5.9,18.8,70.2,94.9,3.8,1.3,26.2627263147072
"EC_17",5.9,18.8,70.2,94.9,3.8,1.3,11.32577276575
"EC_17",5.9,18.8,70.2,94.9,3.8,1.3,16.6234188905458
"EC_17",5.9,18.8,70.2,94.9,3.8,1.3,16.8023411509039
"EC_18",2.7,4.5,91.6,98.8,1.2,0,2.53171474927197
"EC_18",2.7,4.5,91.6,98.8,1.2,0,1.65523958616089
"EC_18",2.7,4.5,91.6,98.8,1.2,0,2.39871857782061
"EC_21",9,37.1,50,96.1,3.9,0,3.47945297186498
"EC_21",9,37.1,50,96.1,3.9,0,6.73547660252043
"EC_21",9,37.1,50,96.1,3.9,0,7.65960388021968
"EC_22",12.7,54,24.5,91.2,2.7,6.1,30.9750200079593
"EC_22",12.7,54,24.5,91.2,2.7,6.1,29.0894967967753
"EC_22",12.7,54,24.5,91.2,2.7,6.1,34.6565395350085
"EC_23",13.9,24.5,42.7,81.1,6.2,12.7,67.3015188016854
"EC_23",13.9,24.5,42.7,81.1,6.2,12.7,68.5569826252077
"EC_24",4.2,8.7,83.6,96.5,3.4,0.1,4.93553025638038
"EC_24",4.2,8.7,83.6,96.5,3.4,0.1,4.65824779485728
"EC_27",46.5,25,1.1,72.6,15.7,11.7,33.8650416892204
"EC_27",46.5,25,1.1,72.6,15.7,11.7,34.6096043116227
"EC_27",46.5,25,1.1,72.6,15.7,11.7,33.723396358558
"EC_32",6.6,1.1,1.1,8.8,20.6,70.6,103.098704924528
"EC_32",6.6,1.1,1.1,8.8,20.6,70.6,92.5795773286053
"EC_32",6.6,1.1,1.1,8.8,20.6,70.6,90.9856163018096
"EC_33",0.8,6.2,92.1,99.1,0.9,0,3.3737832969888
"EC_33",0.8,6.2,92.1,99.1,0.9,0,5.68936919416335
"EC_33",0.8,6.2,92.1,99.1,0.9,0,6.98449786409818
"EC_34",80.7,4,0.6,85.3,3.4,11.3,13.5277101145461
"EC_34",80.7,4,0.6,85.3,3.4,11.3,12.3393326512713
"EC_34",80.7,4,0.6,85.3,3.4,11.3,18.5538510166794
"EC_35",28.4,62.3,3.5,94.2,2.5,3.3,18.7966210521136
"EC_35",28.4,62.3,3.5,94.2,2.5,3.3,20.2524300896078
"EC_35",28.4,62.3,3.5,94.2,2.5,3.3,12.3277947008312
"EC_37",3.7,4.7,89.3,97.7,2.3,0,5.65410798130883
"EC_37",3.7,4.7,89.3,97.7,2.3,0,9.60502677280986
"EC_37",3.7,4.7,89.3,97.7,2.3,0,5.79651028298082
"EC_38",5.2,12.1,80.5,97.8,2.2,0,7.55349276712662
"EC_38",5.2,12.1,80.5,97.8,2.2,0,4.51501692141168
"EC_39",3.7,25.3,67.9,96.9,3.1,0,5.542474825874
"EC_39",3.7,25.3,67.9,96.9,3.1,0,4.69326939644582
"EC_39",3.7,25.3,67.9,96.9,3.1,0,5.77321051298859
"EC_40",35.7,1.8,3.8,41.3,17.7,41,69.8013726653024
"EC_40",35.7,1.8,3.8,41.3,17.7,41,68.2786075124911
"EC_40",35.7,1.8,3.8,41.3,17.7,41,68.5271357688494
"EC_41",7.2,31.9,55,94.1,4.1,1.8,11.0564887850954
"EC_41",7.2,31.9,55,94.1,4.1,1.8,10.2849269877714
"EC_41",7.2,31.9,55,94.1,4.1,1.8,12.2889510771147
"EC_42",6.4,11.3,77,94.7,1.3,4,6.77467255380635
"EC_42",6.4,11.3,77,94.7,1.3,4,5.24097608789287
"EC_42",6.4,11.3,77,94.7,1.3,4,9.51611954877132
"EC_44",12,23.3,59.7,95,2.6,2.4,2.23273873099522
"EC_44",12,23.3,59.7,95,2.6,2.4,12.0041125511858
"EC_44",12,23.3,59.7,95,2.6,2.4,19.1363217380375
"EC_44",12,23.3,59.7,95,2.6,2.4,8.17005397263162
"EC_44",12,23.3,59.7,95,2.6,2.4,6.74285790815209
"EC_51",6,6.6,72,84.6,4.3,11.1,63.1848933273145
"EC_51",6,6.6,72,84.6,4.3,11.1,64.9397726963088
"EC_51",6,6.6,72,84.6,4.3,11.1,64.3079890017309
"EC_52",11.7,12.2,49.7,73.6,3.3,23.1,80.0544679501677
"EC_52",11.7,12.2,49.7,73.6,3.3,23.1,79.2815326503465
"EC_52",11.7,12.2,49.7,73.6,3.3,23.1,77.142496843907
"EC_56",3,25.3,70.2,98.5,1.5,0,1.95337744892104
"EC_56",3,25.3,70.2,98.5,1.5,0,0.250023317379001
"EC_56",3,25.3,70.2,98.5,1.5,0,2.2401009027672
"EC_56",3,25.3,70.2,98.5,1.5,0,4.28879998375285
"EC_63",6,44.3,47,97.3,1.9,0.8,0.859782871089993
"EC_63",6,44.3,47,97.3,1.9,0.8,2.18484157398464
"EC_63",6,44.3,47,97.3,1.9,0.8,1.59094671907558
"EC_63",6,44.3,47,97.3,1.9,0.8,4.06300526349351
"EC_64",7.2,15.2,67.7,90.1,2.3,7.6,2.53385873333593
"EC_64",7.2,15.2,67.7,90.1,2.3,7.6,1.2764671589117
"EC_64",7.2,15.2,67.7,90.1,2.3,7.6,2.23282319010229
"EC_66",1.2,0.5,94.5,96.2,2.1,1.7,9.88335138164797
"EC_66",1.2,0.5,94.5,96.2,2.1,1.7,13.8205768852549
"EC_66",1.2,0.5,94.5,96.2,2.1,1.7,6.37912964203612
"EC_68",14.3,0.9,6.9,22.1,26.9,51,55.2954102446235
"EC_68",14.3,0.9,6.9,22.1,26.9,51,59.1605827160638
"EC_68",14.3,0.9,6.9,22.1,26.9,51,58.1575595229349
"EC_69",5.9,5.5,83.3,94.7,3.3,2,10.5526714726477
"EC_69",5.9,5.5,83.3,94.7,3.3,2,3.10376320402636
"EC_69",5.9,5.5,83.3,94.7,3.3,2,6.71937563190258
"EC_69",5.9,5.5,83.3,94.7,3.3,2,6.17473854745893
"EC_69",5.9,5.5,83.3,94.7,3.3,2,6.15860658615952
"EC_70",37.2,46.1,4,87.3,3.4,9.3,0.603492807943901
"EC_70",37.2,46.1,4,87.3,3.4,9.3,4.11147327315392
"EC_70",37.2,46.1,4,87.3,3.4,9.3,1.45546129866458
"EC_70",37.2,46.1,4,87.3,3.4,9.3,228.968801166441
"EC_70",37.2,46.1,4,87.3,3.4,9.3,7.63760370815553
"EC_71",27.2,21.6,2.5,51.3,1.7,47,45.384276390394
"EC_71",27.2,21.6,2.5,51.3,1.7,47,46.4322832228772
"EC_71",27.2,21.6,2.5,51.3,1.7,47,48.5362846487029
"EC_72",11.6,4.7,1.2,17.5,44.5,38,102.029997113324
"EC_72",11.6,4.7,1.2,17.5,44.5,38,101.996808818987
"EC_72",11.6,4.7,1.2,17.5,44.5,38,93.1566003498122
"EC_73",5.7,2.6,87.1,95.4,0.4,4.2,8.39247819608321
"EC_73",5.7,2.6,87.1,95.4,0.4,4.2,5.25688316098076
"EC_73",5.7,2.6,87.1,95.4,0.4,4.2,3.00049247188458
"EC_73",5.7,2.6,87.1,95.4,0.4,4.2,2.17376916338705
"EC_73",5.7,2.6,87.1,95.4,0.4,4.2,3.27044519589402
"EC_74",2.2,20.2,75.9,98.3,1.7,0,4.18248302026505
"EC_74",2.2,20.2,75.9,98.3,1.7,0,8.48931946715074
"EC_74",2.2,20.2,75.9,98.3,1.7,0,10.871766466576
"EC_74",2.2,20.2,75.9,98.3,1.7,0,3.71836025132646
"EC_74",2.2,20.2,75.9,98.3,1.7,0,2.77733616793609
"EC_75",59,26.1,1.4,86.5,3.8,9.7,19.491068301517
"EC_75",59,26.1,1.4,86.5,3.8,9.7,11.267963575836
"EC_75",59,26.1,1.4,86.5,3.8,9.7,10.5462717972562
"EC_76",27.9,28.4,13.6,69.9,4.7,25.4,14.5358295749062
"EC_76",27.9,28.4,13.6,69.9,4.7,25.4,13.7574729586553
"EC_76",27.9,28.4,13.6,69.9,4.7,25.4,10.365021275772
"EC_78",39.1,34.1,5.2,78.4,1.3,20.3,30.5707249131519
"EC_78",39.1,34.1,5.2,78.4,1.3,20.3,18.8983651070996
"EC_78",39.1,34.1,5.2,78.4,1.3,20.3,21.9017321202436
"EC_80",43.9,33,2,78.9,13.5,7.6,92.478967720251
"EC_80",43.9,33,2,78.9,13.5,7.6,80.0272009846193
"EC_80",43.9,33,2,78.9,13.5,7.6,69.0911557635834
"EC_81",27.4,61.2,1.7,90.3,1.1,8.6,320.571316165292
"EC_81",27.4,61.2,1.7,90.3,1.1,8.6,6.56165027110821
"EC_81",27.4,61.2,1.7,90.3,1.1,8.6,3.92731972641031
"EC_82",51.7,34.9,7,93.6,2,4.4,2.25007682495152
"EC_82",51.7,34.9,7,93.6,2,4.4,6.66636756263108
"EC_82",51.7,34.9,7,93.6,2,4.4,6.51138498792179
"EC_82",51.7,34.9,7,93.6,2,4.4,12.5873481868704
"EC_84",1.9,1.2,93.6,96.7,1.4,1.9,4.5187778635685
"EC_84",1.9,1.2,93.6,96.7,1.4,1.9,4.0350937659833
"EC_84",1.9,1.2,93.6,96.7,1.4,1.9,4.33832243960835
"EC_85",34.6,39,3.4,77,3.1,19.9,4.19618777035269
"EC_85",34.6,39,3.4,77,3.1,19.9,5.39671088568499
"EC_85",34.6,39,3.4,77,3.1,19.9,8.440866904871
"EC_88",28,21.5,18.5,68,3.3,28.7,30.4486486394448
"EC_88",28,21.5,18.5,68,3.3,28.7,26.8823556377837
"EC_88",28,21.5,18.5,68,3.3,28.7,25.7145532035799
